Current Date: 18-Sep-2022
Instrument Serial Number: EC202906C1
Software Name: InCyte
Version Number: 4.0


  Well ,  Sample ID ,  Date ,  Field 1 Label,  Field 1 Entry,  Field 2 Label,  Field 2 Entry, Syms.Percent Percent for SymPop gated by Syms  (%) , Syms.Count Count for SymPop gated by Syms, Syms.Concentration Concentration for SymPop gated by Syms  (cells/mL) , Per.Mean Mean for SymPop gated by Syms, Per.Median Median for SymPop gated by Syms, Per.PercentCV % CV for SymPop gated by Syms  (%) , Chl.Mean Mean for SymPop gated by Syms, Chl.Median Median for SymPop gated by Syms, Chl.PercentCV % CV for SymPop gated by Syms  (%) , Flavin.Mean Mean for SymPop gated by Syms, Flavin.Median Median for SymPop gated by Syms, Flavin.PercentCV % CV for SymPop gated by Syms  (%) ,
 A08, 7-Rep 001, 09.18.2022, blank, blank, blank, blank, 100, 2414, 51559.7019514486, 11356.2431809731, 11842.8386001211, 34.7056450264937, 10439.9633201255, 10853.7228513546, 44.7043119175477, 109.683125644565, 103.669154634198, 182.922778890402,
 A08, 7-Rep 002, 09.18.2022, blank, blank, blank, blank, 100, 2417, 55614.3082015044, 11343.0134676848, 11803.2589200678, 34.5866698226515, 10563.74205163, 10861.9486508138, 42.4111619696675, 113.961224549098, 107.718066983326, 175.486141409224,
 A08, 7-Rep 003, 09.18.2022, blank, blank, blank, blank, 100, 2125, 45333.2048687655, 10963.6506406458, 11533.3621399648, 31.7042049194847, 10249.9308235654, 10618.8563882106, 38.2311566506737, 109.440359116801, 103.915820517761, 153.113458346037,
 A09, 8-Rep 001, 09.18.2022, blank, blank, blank, blank, 100, 2271, 53736.8668786083, 5668.90765286453, 5861.98188116032, 48.1682762332345, 5475.57669642331, 5538.80190012338, 49.286794787704, 94.9575237266763, 90.5508911618681, 117.337447886719,
 A09, 8-Rep 002, 09.18.2022, blank, blank, blank, blank, 100, 2406, 73944.2690882773, 8193.83260548716, 8873.86313642998, 39.8802360553747, 8000.94846626754, 8449.24481697372, 45.5804402214474, 105.446789581021, 98.9510068271297, 178.85587107621,
 A09, 8-Rep 003, 09.18.2022, blank, blank, blank, blank, 100, 2400, 70662.7756578681, 8107.72104922013, 8829.11410420116, 37.5228935667776, 8032.16548723889, 8492.76320067629, 42.6653863339999, 106.637079575509, 99.3303021614624, 147.409801890389,
 A10, 8-Rep 001, 09.18.2022, blank, blank, blank, blank, 100, 2382, 73160.6713160143, 10681.0620650027, 11221.409147554, 29.7188855206534, 10462.072529093, 10825.8849053856, 36.3603789060536, 108.017253897971, 102.346207547355, 167.472672701154,
 A10, 8-Rep 002, 09.18.2022, blank, blank, blank, blank, 100, 2405, 72490.1663719028, 10614.1376387088, 11057.3390656436, 29.4323198243761, 10539.5089108685, 10959.9063396786, 35.962034536301, 107.415745363787, 101.550577133367, 187.396756679999,
 A10, 8-Rep 003, 09.18.2022, blank, blank, blank, blank, 100, 2406, 76304.32088346, 10591.5207644138, 11115.2180766668, 30.4887416283151, 10505.9773220236, 10933.5245700625, 37.700302285693, 106.327563078497, 104.773111990351, 181.186942440362,
 A11, 9-Rep 001, 09.18.2022, blank, blank, blank, blank, 100, 2408, 62693.6346457074, 10804.4021251088, 11381.0888812504, 35.2205308980397, 10109.4633998397, 10424.2874629129, 41.512846080271, 109.302721872903, 101.88981854367, 243.457655683494,
 A11, 9-Rep 002, 09.18.2022, blank, blank, blank, blank, 100, 2398, 65363.6538353582, 10823.8899935085, 11329.5600860049, 33.6854351487977, 10132.2300159748, 10401.3531936211, 40.8516913194397, 110.723000461153, 101.933009806885, 231.906587920532,
 A11, 9-Rep 003, 09.18.2022, blank, blank, blank, blank, 100, 2396, 56672.6823533013, 10661.3266187688, 11334.3129268187, 34.5205291804019, 9941.06056912406, 10271.6241143047, 42.4205523611795, 106.460454191717, 102.016254944739, 229.882251499031,
 A12, 9-Rep 001, 09.18.2022, blank, blank, blank, blank, 100, 2413, 74553.3243408988, 10895.9663386291, 11583.3121467777, 33.9995371144742, 10454.099613417, 10854.7596740682, 42.0649740895804, 110.457935618789, 105.796902302302, 250.026589870586,
 A12, 9-Rep 002, 09.18.2022, blank, blank, blank, blank, 100, 2396, 73804.4300726478, 10814.7749976879, 11348.1099353722, 33.0357198351962, 10479.1124695264, 10905.9848559344, 41.1321021518741, 109.665189691058, 103.866486049601, 254.184890792982,
 A12, 9-Rep 003, 09.18.2022, blank, blank, blank, blank, 100, 2411, 72088.0797618563, 10595.6386644624, 11206.0189143283, 32.5173328985646, 10222.6988701891, 10581.4502092284, 40.2330076892621, 108.174882300352, 104.248883653692, 231.757267331531,
 B01, 13-Rep 001, 09.18.2022, blank, blank, blank, blank, 100, 2394, 90676.1410166001, 10533.6853261514, 11296.9289100927, 32.1022759275982, 9798.76372175189, 10477.7828592617, 39.7378646704158, 90.6444311026884, 89.9156665661371, 307.321685290924,
 B01, 13-Rep 002, 09.18.2022, blank, blank, blank, blank, 100, 2420, 89321.0126533643, 10652.7863119845, 11266.5686663482, 29.4703273736032, 10015.7536741847, 10574.5629839107, 36.821380002261, 93.6137448759312, 89.4592694210336, 407.238553525972,
 B01, 13-Rep 003, 09.18.2022, blank, blank, blank, blank, 100, 2417, 92106.8565209967, 10629.0307451421, 11291.7950052452, 29.7925148118217, 10058.7031630735, 10720.7291302114, 37.4350570816893, 91.7609877875205, 90.5293193558345, 247.682530236947,
 B02, 13-Rep 001, 09.18.2022, blank, blank, blank, blank, 100, 2435, 81207.2773718104, 10771.5735706711, 11418.5131953651, 29.6044845218001, 10031.7581935292, 10671.2293654265, 36.4074790288439, 89.7216991838102, 88.1178372634421, 410.991533003011,
 B02, 13-Rep 002, 09.18.2022, blank, blank, blank, blank, 100, 2445, 86958.823302466, 10831.7679902065, 11523.8433822928, 29.0199251133205, 10164.8886516933, 10788.5312090802, 36.4242925279923, 86.4224255033952, 87.6090057812627, 244.09076263307,
 B02, 13-Rep 003, 09.18.2022, blank, blank, blank, blank, 100, 2433, 82994.43524213, 10806.0900510318, 11582.0658506361, 29.8449252415549, 10273.9597771433, 11057.606159767, 36.513633849703, 88.4940238875109, 88.3336837028161, 233.780195203025,
 B03, 14-Rep 001, 09.18.2022, blank, blank, blank, blank, 100, 2404, 56004.9190899313, 10994.4497922529, 11706.7446566921, 32.1738086586728, 10926.0365444858, 11684.465034905, 40.8092410006127, 99.9730494352615, 99.4135774862154, 373.194293187147,
 B03, 14-Rep 002, 09.18.2022, blank, blank, blank, blank, 100, 2406, 55070.6701070957, 10886.1985142836, 11724.3672235576, 32.6855266597611, 10933.5494024499, 11913.8909165248, 40.2667115357896, 98.2247683339201, 98.0598172039568, 298.568217225328,
 B03, 14-Rep 003, 09.18.2022, blank, blank, blank, blank, 100, 1800, 38393.780482165, 10591.922004974, 11318.4323069266, 32.9391898100482, 10722.4694732363, 11490.1227649418, 41.538998930421, 96.097822409367, 95.5342380724548, 395.162138853779,
 B04, 14-Rep 001, 09.18.2022, blank, blank, blank, blank, 100, 2399, 60403.5776001679, 10686.4681096194, 11491.5484245117, 34.2308615532992, 11101.9063536788, 12123.171717097, 42.4634303972615, 104.169047216641, 101.04796432827, 370.736461370544,
 B04, 14-Rep 002, 09.18.2022, blank, blank, blank, blank, 100, 2401, 65517.9216990267, 10799.3634637897, 11624.157875798, 33.4819464976489, 11327.4292261456, 12432.6845531733, 41.0932351566196, 106.257665442749, 101.306967307619, 377.62858664514,
